2021-08-24 08:19:44 INFO  LocationSelection:21 - inside find location[[ChromeDriver: chrome on WINDOWS (c0021ccc087bb25533ba2e65275d379f)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:19:44 INFO  LocationSelection:22 - inside find location
2021-08-24 08:19:44 INFO  LocationSelection:21 - inside find location[[ChromeDriver: chrome on WINDOWS (c0021ccc087bb25533ba2e65275d379f)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:19:44 INFO  LocationSelection:22 - inside find location
2021-08-24 08:19:44 INFO  LocationSelection:21 - inside find location[[ChromeDriver: chrome on WINDOWS (c0021ccc087bb25533ba2e65275d379f)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:19:44 INFO  LocationSelection:22 - inside find location
2021-08-24 08:19:44 INFO  LocationSelection:21 - inside find location[[ChromeDriver: chrome on WINDOWS (c0021ccc087bb25533ba2e65275d379f)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:19:44 INFO  LocationSelection:22 - inside find location
2021-08-24 08:19:44 INFO  LocationSelection:18 - inside find location
2021-08-24 08:24:08 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:24:09 INFO  LaunchBrowser:17 - test started
2021-08-24 08:24:15 INFO  LocationSelection:19 - inside find location
2021-08-24 08:24:15 INFO  LocationSelection:22 - inside find location[[ChromeDriver: chrome on WINDOWS (cb8dc0b3f448cb98f65536dd9d32f40a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:24:15 INFO  LocationSelection:22 - inside find location[[ChromeDriver: chrome on WINDOWS (cb8dc0b3f448cb98f65536dd9d32f40a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:24:15 INFO  LocationSelection:22 - inside find location[[ChromeDriver: chrome on WINDOWS (cb8dc0b3f448cb98f65536dd9d32f40a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:24:15 INFO  LocationSelection:22 - inside find location[[ChromeDriver: chrome on WINDOWS (cb8dc0b3f448cb98f65536dd9d32f40a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:24:15 INFO  LocationSelection:22 - inside find location[[ChromeDriver: chrome on WINDOWS (cb8dc0b3f448cb98f65536dd9d32f40a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:24:15 INFO  LocationSelection:19 - inside find location
2021-08-24 08:24:15 INFO  LocationSelection:22 - inside find location[[ChromeDriver: chrome on WINDOWS (cb8dc0b3f448cb98f65536dd9d32f40a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:24:15 INFO  LocationSelection:22 - inside find location[[ChromeDriver: chrome on WINDOWS (cb8dc0b3f448cb98f65536dd9d32f40a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:24:15 INFO  LocationSelection:22 - inside find location[[ChromeDriver: chrome on WINDOWS (cb8dc0b3f448cb98f65536dd9d32f40a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:24:15 INFO  LocationSelection:22 - inside find location[[ChromeDriver: chrome on WINDOWS (cb8dc0b3f448cb98f65536dd9d32f40a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:24:15 INFO  LocationSelection:22 - inside find location[[ChromeDriver: chrome on WINDOWS (cb8dc0b3f448cb98f65536dd9d32f40a)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
